epoch,step,train_classification_loss,train_regression_loss,val_classification_loss,val_regression_loss
0,49,5.309454917907715,759.3339233398438,,
0,99,5.291637420654297,573.578369140625,,
0,149,5.323761463165283,1057.0814208984375,,
0,199,5.29974889755249,695.0862426757812,,
0,249,5.2824602127075195,345.57672119140625,,
0,299,5.310092449188232,601.0160522460938,,
0,349,5.3061065673828125,301.9172668457031,,
0,399,5.301530838012695,378.9342041015625,,
0,449,5.302046775817871,862.8895874023438,,
0,499,5.301090240478516,1046.7900390625,,
0,549,5.291772842407227,808.2921142578125,,
0,599,5.284021377563477,463.3360900878906,,
0,649,5.309548854827881,983.7337036132812,,
0,699,5.3286051750183105,675.693603515625,,
0,749,5.297287940979004,342.490478515625,,
0,799,5.296822547912598,852.87744140625,,
0,849,5.30544376373291,825.571533203125,,
0,899,5.299587249755859,830.7550659179688,,
0,949,5.2813496589660645,1100.893310546875,,
0,999,5.28669548034668,397.2772216796875,,
0,1049,5.276447772979736,1021.8616943359375,,
0,1099,5.300895690917969,931.3382568359375,,
0,1149,5.291092395782471,524.221435546875,,
0,1199,5.281295299530029,525.0497436523438,,
0,1249,5.308652877807617,1023.1911010742188,,
0,1299,5.295505523681641,752.0630493164062,,
0,1349,5.299510955810547,783.108154296875,,
0,1399,5.2951836585998535,500.8280029296875,,
0,1449,5.275693416595459,718.0188598632812,,
0,1498,,,5.298748016357422,760.9490966796875
1,1499,5.304259300231934,956.506591796875,,
1,1549,5.303369522094727,666.2368774414062,,
1,1599,5.297810077667236,768.9014892578125,,
1,1649,5.311333179473877,336.388916015625,,
1,1699,5.298273086547852,310.7564697265625,,
1,1749,5.303197383880615,510.5094909667969,,
1,1799,5.290268898010254,455.26116943359375,,
1,1849,5.292006492614746,1027.4371337890625,,
1,1899,5.272583961486816,912.445068359375,,
1,1949,5.299883842468262,755.2890014648438,,
1,1999,5.303399562835693,985.3002319335938,,
1,2049,5.308388710021973,980.9755859375,,
1,2099,5.294251441955566,847.7169799804688,,
1,2149,5.313653945922852,911.9491577148438,,
1,2199,5.300792694091797,732.7044067382812,,
1,2249,5.31428337097168,871.6133422851562,,
1,2299,5.269284725189209,963.9524536132812,,
1,2349,5.297961235046387,808.19384765625,,
1,2399,5.29735803604126,315.0054626464844,,
1,2449,5.322087287902832,1073.548583984375,,
1,2499,5.304801940917969,899.0069580078125,,
1,2549,5.320207595825195,741.1594848632812,,
1,2599,5.276157855987549,987.3524780273438,,
1,2649,5.308739185333252,1241.80078125,,
1,2699,5.298421859741211,659.4383544921875,,
1,2749,5.322653293609619,589.73828125,,
1,2799,5.3152947425842285,335.7679748535156,,
1,2849,5.28359317779541,687.0090942382812,,
1,2899,5.294189453125,1050.1907958984375,,
1,2949,5.316267490386963,813.1155395507812,,
1,2997,,,5.298760890960693,743.2450561523438
2,2999,5.287337303161621,910.5570068359375,,
2,3049,5.308347702026367,747.9823608398438,,
2,3099,5.292098522186279,417.1009216308594,,
2,3149,5.302210807800293,1002.2272338867188,,
2,3199,5.295891761779785,881.3353271484375,,
2,3249,5.292130470275879,749.9725341796875,,
2,3299,5.300033092498779,516.9536743164062,,
2,3349,5.284078121185303,1074.3450927734375,,
2,3399,5.303614139556885,535.8384399414062,,
2,3449,5.289556980133057,435.0467224121094,,
2,3499,5.28956413269043,873.8223876953125,,
2,3549,5.298527717590332,622.67529296875,,
2,3599,5.275722026824951,1031.5255126953125,,
2,3649,5.314883232116699,829.7945556640625,,
2,3699,5.292970657348633,885.7721557617188,,
2,3749,5.313652038574219,1325.2354736328125,,
2,3799,5.282763957977295,1243.2252197265625,,
2,3849,5.318312644958496,726.7124633789062,,
2,3899,5.297200679779053,724.7753295898438,,
2,3949,5.302080154418945,1507.7730712890625,,
2,3999,5.292689800262451,1390.15771484375,,
2,4049,5.309023380279541,1304.958740234375,,
2,4099,5.2857465744018555,472.86773681640625,,
2,4149,5.304371356964111,460.35992431640625,,
2,4199,5.272977828979492,483.06158447265625,,
2,4249,5.293671131134033,797.3548583984375,,
2,4299,5.306271076202393,387.221435546875,,
2,4349,5.305547714233398,853.38916015625,,
2,4399,5.311668872833252,485.5333251953125,,
2,4449,5.310364723205566,672.7073364257812,,
2,4496,,,5.298740386962891,730.8110961914062
3,4499,5.288018226623535,384.5429382324219,,
3,4549,5.302821159362793,800.4632568359375,,
3,4599,5.30979061126709,760.422607421875,,
3,4649,5.275791168212891,698.9558715820312,,
3,4699,5.293097496032715,509.7724609375,,
3,4749,5.313919544219971,604.4328002929688,,
3,4799,5.283554553985596,832.4002075195312,,
3,4849,5.303328037261963,640.1741943359375,,
3,4899,5.313504219055176,790.7158203125,,
3,4949,5.285512447357178,546.8828735351562,,
3,4999,5.299161911010742,390.2250061035156,,
3,5049,5.288003444671631,737.9816284179688,,
3,5099,5.2985711097717285,1802.8450927734375,,
3,5149,5.291539192199707,533.0897827148438,,
3,5199,5.288933277130127,898.4500732421875,,
3,5249,5.306551933288574,565.555908203125,,
3,5299,5.279094696044922,507.9192810058594,,
3,5349,5.306657791137695,695.9354858398438,,
3,5399,5.29686164855957,722.7787475585938,,
3,5449,5.309884548187256,536.7490844726562,,
3,5499,5.298548698425293,1171.007080078125,,
3,5549,5.297128200531006,376.5710144042969,,
3,5599,5.290524482727051,868.5142211914062,,
3,5649,5.317629814147949,942.1224975585938,,
3,5699,5.291014671325684,969.2374877929688,,
3,5749,5.302411079406738,583.8225708007812,,
3,5799,5.3181562423706055,912.7116088867188,,
3,5849,5.323992729187012,810.839599609375,,
